Scenario,Method,ROC_AUC,PR_AUC,TPR_at_005,Emp_FA,TPR_conf
Model B-fine,Energy,0.49,0.476,0.026,0.046,0.024
Model B-fine,FFT/STFT,1.0,1.0,1.0,0.064,1.0
Model B-fine,Wavelet/WPT,0.92,0.875,0.536,0.044,0.504
Model B-fine,Haar only,1.0,1.0,1.0,0.052,1.0
Model B-fine,Walsh only,1.0,1.0,1.0,0.042,1.0
Model B-fine,Haar-Walsh + conformal,1.0,1.0,1.0,0.052,1.0
Model B-coarse,Energy,0.488,0.498,0.042,0.048,0.042
Model B-coarse,FFT/STFT,0.878,0.795,0.182,0.048,0.172
Model B-coarse,Wavelet/WPT,0.443,0.442,0.002,0.058,0.004
Model B-coarse,Haar only,0.552,0.508,0.002,0.082,0.01
Model B-coarse,Walsh only,0.534,0.488,0.016,0.042,0.014
Model B-coarse,Haar-Walsh + conformal,0.597,0.515,0.012,0.068,0.012
Model C-Haar-preserving,Energy,0.448,0.467,0.046,0.078,0.064
Model C-Haar-preserving,FFT/STFT,0.996,0.994,0.998,0.062,0.998
Model C-Haar-preserving,Wavelet/WPT,0.527,0.539,0.094,0.042,0.072
Model C-Haar-preserving,Haar only,0.508,0.509,0.034,0.078,0.054
Model C-Haar-preserving,Walsh only,0.703,0.628,0.066,0.07,0.094
Model C-Haar-preserving,Haar-Walsh + conformal,0.679,0.595,0.046,0.084,0.074
Model A-Walsh-power,Energy,0.524,0.521,0.064,0.044,0.052
Model A-Walsh-power,FFT/STFT,0.953,0.939,0.792,0.048,0.786
Model A-Walsh-power,Wavelet/WPT,0.486,0.482,0.042,0.028,0.03
Model A-Walsh-power,Haar only,0.487,0.499,0.044,0.038,0.04
Model A-Walsh-power,Walsh only,0.487,0.501,0.048,0.046,0.048
Model A-Walsh-power,Haar-Walsh + conformal,0.482,0.492,0.042,0.04,0.04
